text,translation,Category
RT @Dani_S_Hunter: @fiacloir1 @sarahjchapman @HealthJourno @easyJet We were on an @AerLingus flight Wednesday. Cleaned the seat area as bes…,RT @Dani_S_Hunter: @fiacloir1 @sarahjchapman @HealthJourno @easyJet We were on an @AerLingus flight Wednesday. Cleaned the seat area as bes…,seating and boarding challenges
RT @AeronauticsO: KLM will start flights from Amsterdam to Bangalore. The Dutch airline will fly three times a week… https://t.co/Bb6F7GkFRz,RT @AeronauticsO: KLM will start flights from Amsterdam to Bangalore. The Dutch airline will fly three times a week… https://t.co/Bb6F7GkFRz,in-flight experience
RT @BoardingArea: KLM planning to add Bengaluru – Amsterdam flights 3X weekly https://t.co/kFZYM59PRL via @LiveFromALounge https://t.co/WJ4…,RT @BoardingArea: KLM planning to add Bengaluru – Amsterdam flights 3X weekly https://t.co/kFZYM59PRL via @LiveFromALounge https://t.co/WJ4…,seating and boarding challenges
Moment police bundle raging easyJet passenger off flight at Gatwick after he ‘locked himself in loos during landing… https://t.co/tZvBcSH0rp,Moment police bundle raging easyJet passenger off flight at Gatwick after he ‘locked himself in loos during landing… https://t.co/tZvBcSH0rp,in-flight experience
Moment police bundle raging easyJet passenger off flight at Gatwick after he ‘locked himself in loos during landing… https://t.co/m0neJfdYos,Moment police bundle raging easyJet passenger off flight at Gatwick after he ‘locked himself in loos during landing… https://t.co/m0neJfdYos,in-flight experience
RT @BLRAviation: BREAKING: KLM to commence Amsterdam Bangalore flights https://t.co/etaLLFDN9Q,RT @BLRAviation: BREAKING: KLM to commence Amsterdam Bangalore flights https://t.co/etaLLFDN9Q,in-flight experience
RT @FlyDriveExplore: British airways flight review - London to Tallinn @British_Airways https://t.co/U6G2jqTa1a  #flight #review https://t.…,RT @FlyDriveExplore: British airways flight review - London to Tallinn @British_Airways https://t.co/U6G2jqTa1a  #flight #review https://t.…,in-flight experience
"@kenju254 @asemota @British_Airways @KLM Turkish Airline, Egypt Air etc offer better customer care.","@kenju254 @asemota @British_Airways @KLM Turkish Airline, Egypt Air etc offer better customer care.",promotion and offer issues
RT @CurlingZone: Interesting to see @AmericanAir have updated their baggage policy on sports equipment to include travel with your curling…,RT @CurlingZone: Interesting to see @AmericanAir have updated their baggage policy on sports equipment to include travel with your curling…,baggage issues
RT @ameyaw112: Thank you @SingaporeAir for showing me around your Airbus A380  / First Class Suite . I enjoyed the experience 😁 i will sure…,RT @ameyaw112: Thank you @SingaporeAir for showing me around your Airbus A380  / First Class Suite . I enjoyed the experience 😁 i will sure…,in-flight experience
"@Jiska_S Hi, if you need any assistance please contact us DM. Thank you!
Ale","@Jiska_S Hi, if you need any assistance please contact us DM. Thank you!
Ale",special assistance requests
"RT @AeropuertoUIO: Ecuador tiene a la Luz de América y Francia a la Ciudad de la Luz, muy pronto ambos destinos se conectarán en un vuelo d…","RT @AeropuertoUIO: Ecuador has the Light of America and France has the City of Light, very soon both destinations will connect on a flight from…",in-flight experience
"RT @anticapitalizm: three years on and i’m still thinking about the ryanair flight i took that made the following announcement:

[triumphan…","RT @anticapitalizm: three years on and i’m still thinking about the ryanair flight i took that made the following announcement:

[triumphan…",in-flight experience
RT @BLRAviation: BREAKING: KLM to commence Amsterdam Bangalore flights https://t.co/etaLLFDN9Q,RT @BLRAviation: BREAKING: KLM to commence Amsterdam Bangalore flights https://t.co/etaLLFDN9Q,in-flight experience
"Dans la famille ZuMZuM, on est flight reporter de fils en père ! 😊

Avis du vol EasyJet (Suisse) Bâle → Ajaccio en… https://t.co/TX4019ibmI","In the ZuMZuM family, we are flight reporters from son to father! 😊

Review of the EasyJet flight (Switzerland) Basel → Ajaccio in… https://t.co/TX4019ibmI",in-flight experience
"@Emmmma82 Hey Emma, so sorry to hear about your seats. We never want to reassign customers seats but they are subje… https://t.co/lYLPJdTkWG","@Emmmma82 Hey Emma, so sorry to hear about your seats. We never want to reassign customers seats but they are subje… https://t.co/lYLPJdTkWG",seating and boarding challenges
"@asemota This isn't good to see, Victor. Please, can you let us know your flight number? We'd like to feed this bac… https://t.co/DBfnQZW8B8","@asemota This isn't good to see, Victor. Please, can you let us know your flight number? We'd like to feed this bac… https://t.co/DBfnQZW8B8",in-flight experience
Easing anxiety allows for the best customer experience. Small gestures and accommodations matter. Airlines take not… https://t.co/JokcQZtpb5,Easing anxiety allows for the best customer experience. Small gestures and accommodations matter. Airlines take not… https://t.co/JokcQZtpb5,in-flight experience
Business travel can be glamorous. Easyjet flights that thankfully took off this time and in my hotel I have two han… https://t.co/6vKIaA3WOT,Business travel can be glamorous. Easyjet flights that thankfully took off this time and in my hotel I have two han… https://t.co/6vKIaA3WOT,in-flight experience
@rebecca_neely14 We're happy to have you up front with us. Enjoy your flight!,@rebecca_neely14 We're happy to have you up front with us. Enjoy your flight!,in-flight experience
@KLM dat is jammer! ik verdien wel XP toch op AlItalia vluchten als FB lid?,"@KLM that's a shame! I do earn XP on AlItalia flights as a FB member, right?",in-flight experience
RT @HMSHostCEO: Earlier this year @HMSHost partnered with @AmericanAir to elevate the traveler’s culinary experience in their North America…,RT @HMSHostCEO: Earlier this year @HMSHost partnered with @AmericanAir to elevate the traveler’s culinary experience in their North America…,in-flight experience
@British_Airways Website not recognising my booking ref No,@British_Airways Website not recognising my booking ref No,booking problems
@British_Airways BA 81 from London to Accra. This is an eyesore and a total waste of money.,@British_Airways BA 81 from London to Accra. This is an eyesore and a total waste of money.,refund complaints
KLM wil zelf ook van vluchten naar Brussel af https://t.co/9BB10gPNqh https://t.co/jhzqxfNDaP,KLM also wants to stop flights to Brussels https://t.co/9BB10gPNqh https://t.co/jhzqxfNDaP,in-flight experience
Qantas #595/VH-VXQ is expected to arrive at Perth Int'l (PER) in 45 minutes at 09:47PM AWST https://t.co/IZH4AQMlmX #flightaware,Qantas #595/VH-VXQ is expected to arrive at Perth Int'l (PER) in 45 minutes at 09:47PM AWST https://t.co/IZH4AQMlmX #flightaware,in-flight experience
@matsumotoasahi7 KLMオランダは、多数の機体が風邪のためしばらく欠航となります。なんてね,@matsumotoasahi7 KLM Netherlands has many flights cancelled due to colds.,flight delays and cancellations
"Ryanair Boeing 737NG 8AS/W (EI-FIT, #4CA588) as flight #RYR2JK at 29200 ft heading east bound OTT north west of #RyanHQ","Ryanair Boeing 737NG 8AS/W (EI-FIT, #4CA588) as flight #RYR2JK at 29200 ft heading east bound OTT north west of #RyanHQ",in-flight experience
"@British_Airways Booking auto-complete typing isn't working as normal: when I type FRA for Frankfurt, it offers me… https://t.co/yFkzki9gA7","@British_Airways Booking auto-complete typing isn't working as normal: when I type FRA for Frankfurt, it offers me… https://t.co/yFkzki9gA7",booking problems
"Ryanair Boeing 737NG 8AS/W (EI-EMN, #4CA856) as flight #RYR3PJ at 34000 ft heading south west bound OTT #RyanHQ","Ryanair Boeing 737NG 8AS/W (EI-EMN, #4CA856) as flight #RYR3PJ at 34000 ft heading south west bound OTT #RyanHQ",in-flight experience
@ZaneWil95562747 Thanks for your Tweet and kind words about the crew and captain on your flight to London Gatwick t… https://t.co/ok0vRWWauW,@ZaneWil95562747 Thanks for your Tweet and kind words about the crew and captain on your flight to London Gatwick t… https://t.co/ok0vRWWauW,in-flight experience
KLM planning to add Bengaluru – Amsterdam flights 3X weekly|https://t.co/qBdIqh59me https://t.co/EW1cxABW8z,KLM planning to add Bengaluru – Amsterdam flights 3X weekly|https://t.co/qBdIqh59me https://t.co/EW1cxABW8z,in-flight experience
"Ryanair Boeing 737NG 8AS/W (EI-DCN, #4CA244) as flight #RYR7QT at 19750 ft heading north west bound OTT west of #RyanHQ","Ryanair Boeing 737NG 8AS/W (EI-DCN, #4CA244) as flight #RYR7QT at 19750 ft heading north west bound OTT west of #RyanHQ",in-flight experience
"@tomazinac Hi, you can change it by logging in to our website using the booking reference and clicking on ""Manage my booking""  Ana","@tomazinac Hi, you can change it by logging in to our website using the booking reference and clicking on ""Manage my booking""  Ana",booking problems
"Flight has been delayed due to mechanical, now requires 2 connections and still arrives 7+ hours late. Please help @AmericanAir #AATeam","Flight has been delayed due to mechanical, now requires 2 connections and still arrives 7+ hours late. Please help @AmericanAir #AATeam",flight delays and cancellations
@RedArmy58 Send us your booking reference via DM along with as much info as possible so we can take a closer look.… https://t.co/shlRMpdBVg,@RedArmy58 Send us your booking reference via DM along with as much info as possible so we can take a closer look.… https://t.co/shlRMpdBVg,booking problems
@rewindthefilth Let us see how we can help with this. Drop us a DM with as much info as possible and remember to in… https://t.co/BO8rx5wL5K,@rewindthefilth Let us see how we can help with this. Drop us a DM with as much info as possible and remember to in… https://t.co/BO8rx5wL5K,flight information requests
@damsonglobal if you're thinking of buying a Damson product on an easyJet flight my advice would be DONT. Shocking… https://t.co/1zbjm0Uyl7,@damsonglobal if you're thinking of buying a Damson product on an easyJet flight my advice would be DONT. Shocking… https://t.co/1zbjm0Uyl7,in-flight experience
DLH1820  D-AIPC A320 Lufthansa Just landed at 2019-05-22 15:04:38.000 #LOWI #planespotting #planeinfo,DLH1820  D-AIPC A320 Lufthansa Just landed at 2019-05-22 15:04:38.000 #LOWI #planespotting #planeinfo,flight information requests
"Ryanair Boeing 737NG 8AS/W (EI-DPK, #4CA4EF) as flight #RYR20HY at 37000 ft heading east bound OTT west of #RyanHQ","Ryanair Boeing 737NG 8AS/W (EI-DPK, #4CA4EF) as flight #RYR20HY at 37000 ft heading east bound OTT west of #RyanHQ",in-flight experience
"RT @asemota: Compare to the flight from San Francisco to London to the one between London and Accra. Same phone, same @British_Airways. htt…","RT @asemota: Compare to the flight from San Francisco to London to the one between London and Accra. Same phone, same @British_Airways. htt…",in-flight experience
RT @EtihadAirways: A new adventure is taking flight. Where will yours be? #Etihad787 https://t.co/gTR0xqbJdl,RT @EtihadAirways: A new adventure is taking flight. Where will yours be? #Etihad787 https://t.co/gTR0xqbJdl,in-flight experience
@JeanieAllgeier The flight is closed 10 min before take off. We apologize you missed your flight. Our team will wor… https://t.co/tTMecbHdLf,@JeanieAllgeier The flight is closed 10 min before take off. We apologize you missed your flight. Our team will wor… https://t.co/tTMecbHdLf,in-flight experience
A digital billboard in #London is showing a virtual boy standing up &amp; pointing at actual @British_Airways flights a… https://t.co/4uJG7hW9Xf,A digital billboard in #London is showing a virtual boy standing up &amp; pointing at actual @British_Airways flights a… https://t.co/4uJG7hW9Xf,seating and boarding challenges
RT @Lufthansa_India: Is your flight on time? What gate does your plane leave from? Get answers to these questions and more by chatting with…,RT @Lufthansa_India: Is your flight on time? What gate does your plane leave from? Get answers to these questions and more by chatting with…,in-flight experience
@VirginAtlantic Trying to find flight schedules etc for BOM-LHR. They are not showing on VS website!,@VirginAtlantic Trying to find flight schedules etc for BOM-LHR. They are not showing on VS website!,in-flight experience
Perfect flight! @AmericanAir,Perfect flight! @AmericanAir,in-flight experience
Musicians may now check oversized instruments as standard baggage on @AmericanAir.  Yay! ✈️✈️🎸🥁🎻 🎺 🎷 https://t.co/6iL5DPdvQy,Musicians may now check oversized instruments as standard baggage on @AmericanAir.  Yay! ✈️✈️🎸🥁🎻 🎺 🎷 https://t.co/6iL5DPdvQy,baggage issues
@Laceyciara @bakermayfield @AmericanAir Goooood luck. Last time I flew w them they lost my luggage and I never woul… https://t.co/4Jr7dd4fnd,@Laceyciara @bakermayfield @AmericanAir Goooood luck. Last time I flew w them they lost my luggage and I never woul… https://t.co/4Jr7dd4fnd,lost luggage
"@British_Airways If I made a booking through Iberia, can I make it show up on my BA account/login? Or need to manage through Iberia?","@British_Airways If I made a booking through Iberia, can I make it show up on my BA account/login? Or need to manage through Iberia?",booking problems
RT @EtihadAirways: A new adventure is taking flight. Where will yours be? #Etihad787 https://t.co/gTR0xqbJdl,RT @EtihadAirways: A new adventure is taking flight. Where will yours be? #Etihad787 https://t.co/gTR0xqbJdl,in-flight experience
"@ffskennz @British_Airways if it's more than 3 hours, you can claim 400 bucks for an EU flight, 600 for an international. Google EU261 !","@ffskennz @British_Airways if it's more than 3 hours, you can claim 400 bucks for an EU flight, 600 for an international. Google EU261 !",in-flight experience
Helen on @AmericanAir flight 431 provided excellent customer service recovery and even tied a little passenger’s sh… https://t.co/QN1Xn1yenU,Helen on @AmericanAir flight 431 provided excellent customer service recovery and even tied a little passenger’s sh… https://t.co/QN1Xn1yenU,customer service complaints
"@AmericanAir at DFW. flight to JFK is scheduled to board in 25 minutes. There’s no plane, no gate attendants and th… https://t.co/LYoocsxHZo","@AmericanAir at DFW. flight to JFK is scheduled to board in 25 minutes. There’s no plane, no gate attendants and th… https://t.co/LYoocsxHZo",seating and boarding challenges
"RT @rushdatsun: Flight has been delayed due to mechanical, now requires 2 connections and still arrives 7+ hours late. Please help @America…","RT @rushdatsun: Flight has been delayed due to mechanical, now requires 2 connections and still arrives 7+ hours late. Please help @America…",flight delays and cancellations
RT @CurlingZone: Interesting to see @AmericanAir have updated their baggage policy on sports equipment to include travel with your curling…,RT @CurlingZone: Interesting to see @AmericanAir have updated their baggage policy on sports equipment to include travel with your curling…,baggage issues
@British_Airways ummm. Did someone forget spellcheck on the departures board? https://t.co/JZlW0XuANL,@British_Airways ummm. Did someone forget spellcheck on the departures board? https://t.co/JZlW0XuANL,seating and boarding challenges
"De vluchten van Brussel naar Schiphol kunnen vervangen worden door de trein, zegt KLM, maar directeur Kreulen verbi… https://t.co/lXRhpnbfTo","The flights from Brussels to Schiphol can be replaced by the train, KLM says, but director Kreulen bans… https://t.co/lXRhpnbfTo",in-flight experience
"Ryanair Boeing 737NG 8AS/W (EI-ENR, #4CA8E4) as flight #RYR6VR at 37000 ft heading south bound OTT #RyanHQ","Ryanair Boeing 737NG 8AS/W (EI-ENR, #4CA8E4) as flight #RYR6VR at 37000 ft heading south bound OTT #RyanHQ",in-flight experience
Get in the pilot's seat and move towards a career you love! Fly as a CFI with LAT USA and truly love going to work… https://t.co/F54xVrPAyE,Get in the pilot's seat and move towards a career you love! Fly as a CFI with LAT USA and truly love going to work… https://t.co/F54xVrPAyE,seating and boarding challenges
@Laceyciara @bakermayfield @AmericanAir Oh we did when they lost our luggage😂,@Laceyciara @bakermayfield @AmericanAir Oh we did when they lost our luggage😂,lost luggage
"RT @DahrdelightsSue: @AmericanAir after giving details of my horrible experience regarding no wheelchair assistance at Heathrow, I was give…","RT @DahrdelightsSue: @AmericanAir after giving details of my horrible experience regarding no wheelchair assistance at Heathrow, I was give…",in-flight experience
RT @Virgin: .@VirginAtlantic is relaunching daily flights between Heathrow and Mumbai https://t.co/N9oIdYzxEx https://t.co/tEyJFaqOcF,RT @Virgin: .@VirginAtlantic is relaunching daily flights between Heathrow and Mumbai https://t.co/N9oIdYzxEx https://t.co/tEyJFaqOcF,in-flight experience
RT @Gaia_Mai_: Alla luce delle vicende del tizio sul volo Ryanair e della mia ansia da adesso in poi quando prenderò un aereo chiederò al m…,RT @Gaia_Mai_: In light of the events of the guy on the Ryanair flight and my anxiety from now on when I take a plane I will ask the m…,in-flight experience
@AmericanAir Wow! Travel with bike with no fee? Is this for USA flights only or International too? This is brilliant!!!,@AmericanAir Wow! Travel with bike with no fee? Is this for USA flights only or International too? This is brilliant!!!,in-flight experience
"@lovefromsarah32 Speak with the Baggage team with United, and they'll work with us behind the scenes to get you reunited with your bags.","@lovefromsarah32 Speak with the Baggage team with United, and they'll work with us behind the scenes to get you reunited with your bags.",baggage issues
Musicians may now check oversized instruments as standard baggage on @AmericanAir.  Yay! ✈️✈️🎸🥁🎻 🎺 🎷,Musicians may now check oversized instruments as standard baggage on @AmericanAir.  Yay! ✈️✈️🎸🥁🎻 🎺 🎷,baggage issues
@Pelusitaaaa1 We helpen je graag. Kan je ons een DM sturen zodat we je daar om meer gegevens kunnen vragen?,@Pelusitaaaa1 We are happy to help you. Can you send us a DM so we can ask you for more information?,flight information requests
RT @RunVee2: Atterrati. Si accorge che si trova a Bari e non a Cagliari. 😂😂 #Ryanair volo Pisa - Bari https://t.co/yIHTk6GrUs,RT @RunVee2: Landed. He realizes that he is in Bari and not Cagliari. 😂😂 #Ryanair flight Pisa - Bari https://t.co/yIHTk6GrUs,in-flight experience
RT @mistameister: Ei! Money please locate me https://t.co/UIleYJzC7X,RT @mistameister: Ei! Money please locate me https://t.co/UIleYJzC7X,refund complaints
"@lufthansa Group Airlines offer more than 11,000 flights a week to more than 270 destinations #worldwide -… https://t.co/txb5l2vOzW","@lufthansa Group Airlines offer more than 11,000 flights a week to more than 270 destinations #worldwide -… https://t.co/txb5l2vOzW",in-flight experience
@VirginAtlantic No. We paid for the bubble 11 months in advance. The bubble cabin was empty when we booked. Now an… https://t.co/82iTppWqIG,@VirginAtlantic No. We paid for the bubble 11 months in advance. The bubble cabin was empty when we booked. Now an… https://t.co/82iTppWqIG,booking problems
"RT @Bigglesdaf: @manairport @VirginAtlantic @MykGee45 No offence but how long will the route last? We had San Francisco but then cancelled,…","RT @Bigglesdaf: @manairport @VirginAtlantic @MykGee45 No offence but how long will the route last? We had San Francisco but then cancelled,…",flight delays and cancellations
RT @easyJet: @avgggva Gracias por volver a escribir Abstrusu. Debo informarle sin embargo que solo podemos responder a los mensajes en cast…,RT @easyJet: @avgggva Thanks for rewriting Abstrusu. I must inform you however that we can only respond to messages in cast…,flight information requests
"RT @Fauxlie_: @ffskennz @British_Airways if it's more than 3 hours, you can claim 400 bucks for an EU flight, 600 for an international. Goo…","RT @Fauxlie_: @ffskennz @British_Airways if it's more than 3 hours, you can claim 400 bucks for an EU flight, 600 for an international. Goo…",in-flight experience
Stansted Airport CLOSED: Runway shut to all traffic - flights being diverted https://t.co/gZ9gwO2WM1,Stansted Airport CLOSED: Runway shut to all traffic - flights being diverted https://t.co/gZ9gwO2WM1,in-flight experience
"Ryanair Boeing 737NG 8AS/W (EI-DWI, #4CA56E) as flight #RYR83MU at 36309 ft heading east bound OTT west of #RyanHQ","Ryanair Boeing 737NG 8AS/W (EI-DWI, #4CA56E) as flight #RYR83MU at 36309 ft heading east bound OTT west of #RyanHQ",in-flight experience
"RT @SaoudAlkaabi: من منطلق الخدمة المجتمعية
#طيران_الاتحاد تطلق مبادرة #باقة_بسمة لكبار المواطنين بالتعاون مع وزارة تنمية المجتمع.
تعرفوا ع…","RT @SaoudAlkaabi: From the standpoint of community service
#EtihadAirlines launches the #Basma_Package initiative for senior citizens in cooperation with the Ministry of Community Development.
Get to know…",customer service complaints
"Ryanair Boeing 737NG 8AS/W (EI-FIN, #4CA53F) as flight #RYR690C at 13500 ft heading south east bound OTT west of #RyanHQ","Ryanair Boeing 737NG 8AS/W (EI-FIN, #4CA53F) as flight #RYR690C at 13500 ft heading south east bound OTT west of #RyanHQ",in-flight experience
@AirFranceFR @airfrance @AirFranceKLM @AirFranceIN please start direct flights to Chennai,@AirFranceFR @airfrance @AirFranceKLM @AirFranceIN please start direct flights to Chennai,in-flight experience
@Fauxlie_ @Flight_Refunds @ffskennz @British_Airways Unless it TUI then good luck with that!!,@Fauxlie_ @Flight_Refunds @ffskennz @British_Airways Unless it TUI then good luck with that!!,in-flight experience
"Beste @KLM, ik heb gister op vlucht    KL 0645 van Amsterdam naar New York mijn jas laten liggen in het bagagevak b… https://t.co/YOZSVV3kqv","Dear @KLM, yesterday I left my jacket in the overhead compartment on flight KL 0645 from Amsterdam to New York… https://t.co/YOZSVV3kqv",in-flight experience
@KTammaro077 You can select your seat by going to our website. Click here: https://t.co/iJWiiS4WLg,@KTammaro077 You can select your seat by going to our website. Click here: https://t.co/iJWiiS4WLg,seating and boarding challenges
RT @Bren1892: @Fauxlie_ @Flight_Refunds @ffskennz @British_Airways Unless it TUI then good luck with that!!,RT @Bren1892: @Fauxlie_ @Flight_Refunds @ffskennz @British_Airways Unless it TUI then good luck with that!!,in-flight experience
RTThe_AFM Musicians may now check oversized instruments as standard baggage on AmericanAir.  Yay! ✈️✈️🎸🥁🎻 🎺 🎷,RTThe_AFM Musicians may now check oversized instruments as standard baggage on AmericanAir.  Yay! ✈️✈️🎸🥁🎻 🎺 🎷,baggage issues
@Ryanair So to clarify - when it says add priority to ALL passengers and ALL flights - which I then clicked and pai… https://t.co/kqlhrTvAmy,@Ryanair So to clarify - when it says add priority to ALL passengers and ALL flights - which I then clicked and pai… https://t.co/kqlhrTvAmy,in-flight experience
"@British_Airways Forgive me but I think you may have misunderstood my query.
I recently received Exec Club luggage… https://t.co/YCH9iATpsE","@British_Airways Forgive me but I think you may have misunderstood my query.
I recently received Exec Club luggage… https://t.co/YCH9iATpsE",lost luggage
"@Ryanair travelling to Malta on Friday, can you confirm if a @Trunki is allowed on board?","@Ryanair travelling to Malta on Friday, can you confirm if a @Trunki is allowed on board?",seating and boarding challenges
"RT @dsajet: De vluchten van Brussel naar Schiphol kunnen vervangen worden door de trein, zegt KLM, maar directeur Kreulen verbindt er wel v…","RT @dsajet: The flights from Brussels to Schiphol can be replaced by the train, says KLM, but director Kreulen is committed to…",in-flight experience
"Escapadinha de fim de semana? Aproveite. Ryanair com voos a partir de 3,99 euros https://t.co/9njTOtwuSD",Weekend getaway? Enjoy. Ryanair with flights from 3.99 euros https://t.co/9njTOtwuSD,in-flight experience
@SusannahOtter APOGS is a GLORY and I read the ending on an Easyjet flight and cried so much that my neighbour made… https://t.co/vFOhGkfdUX,@SusannahOtter APOGS is a GLORY and I read the ending on an Easyjet flight and cried so much that my neighbour made… https://t.co/vFOhGkfdUX,in-flight experience
"RT @MaxGramel: Gentile passeggero furibondo del volo Ryanair Pisa-Bari, ha quasi tutta la mia solidarietà. 

“Un eroe del nostro tempo”, #I…","RT @MaxGramel: Dear furious passenger on the Ryanair Pisa-Bari flight, you have almost all my solidarity. 

“A hero of our time”, #I…",in-flight experience
"Qantas flight #QFA93 spotted at 15,300 feet! https://t.co/FcRHpc3mMk","Qantas flight #QFA93 spotted at 15,300 feet! https://t.co/FcRHpc3mMk",in-flight experience
@British_Airways bad experience today...flight cancelled...now can’t re-book seats together for party of 6 with a b… https://t.co/XZqZtutTdu,@British_Airways bad experience today...flight cancelled...now can’t re-book seats together for party of 6 with a b… https://t.co/XZqZtutTdu,flight delays and cancellations
@Qantas How do I know I won't be ignored again? Just get the customer service people to follow through. Do not put the effort back on me.,@Qantas How do I know I won't be ignored again? Just get the customer service people to follow through. Do not put the effort back on me.,customer service complaints
@British_Airways I am quite disappointed with BA this morning.  Yesterday I paid for 2 exit row seats for my wife a… https://t.co/NtPxZqnn2B,@British_Airways I am quite disappointed with BA this morning.  Yesterday I paid for 2 exit row seats for my wife a… https://t.co/NtPxZqnn2B,seating and boarding challenges
RT @alexbyrne21: @damsonglobal if you're thinking of buying a Damson product on an easyJet flight my advice would be DONT. Shocking after s…,RT @alexbyrne21: @damsonglobal if you're thinking of buying a Damson product on an easyJet flight my advice would be DONT. Shocking after s…,in-flight experience
"Hello @British_Airways.
I have just boarded a flight and realised I've stupidly left a scarf in the terminal 5 loun… https://t.co/U2vmSmv5iB","Hello @British_Airways.
I have just boarded a flight and realised I've stupidly left a scarf in the terminal 5 loun… https://t.co/U2vmSmv5iB",seating and boarding challenges
El Cuaderno de Viaje para Niños de easyJet https://t.co/cLiFjJCM49 https://t.co/TwXgVeuMYC,The easyJet Children's Travel Notebook https://t.co/cLiFjJCM49 https://t.co/TwXgVeuMYC,booking problems
"O custo energético destas promoções é motivo suficiente para nos revoltarmos contra estes artigos. 
https://t.co/9uSumc99Z4","The energy cost of these promotions is reason enough to rebel against these articles. 
https://t.co/9uSumc99Z4",promotion and offer issues
"@British_Airways …. seats.  I specifically paid for exit row seats, I respectfully want to be refunded the money I… https://t.co/1cSezJBLGU","@British_Airways …. seats.  I specifically paid for exit row seats, I respectfully want to be refunded the money I… https://t.co/1cSezJBLGU",seating and boarding challenges
Just been turfed off @British_Airways flight to Madrid at LHR. Very clever BA people sending updates to my home pho… https://t.co/0OMFeZyqa8,Just been turfed off @British_Airways flight to Madrid at LHR. Very clever BA people sending updates to my home pho… https://t.co/0OMFeZyqa8,in-flight experience
@RobChristie91 @Ryanair I have had the same problem. Bought priority for ALL flights and ALL passengers and it only… https://t.co/NlywKuCH33,@RobChristie91 @Ryanair I have had the same problem. Bought priority for ALL flights and ALL passengers and it only… https://t.co/NlywKuCH33,in-flight experience
"@caspots Have you made a booking, Darren?  Can you DM us some more info, so we can look into this charge?  Marie https://t.co/L1epyfzysM","@caspots Have you made a booking, Darren?  Can you DM us some more info, so we can look into this charge?  Marie https://t.co/L1epyfzysM",booking problems
RT @spotter_info: DLH1820  D-AIPC A320 Lufthansa Just landed at 2019-05-22 15:04:38.000 #LOWI #planespotting #planeinfo,RT @spotter_info: DLH1820  D-AIPC A320 Lufthansa Just landed at 2019-05-22 15:04:38.000 #LOWI #planespotting #planeinfo,flight information requests
RT @Lufthansa_India: Is your flight on time? What gate does your plane leave from? Get answers to these questions and more by chatting with…,RT @Lufthansa_India: Is your flight on time? What gate does your plane leave from? Get answers to these questions and more by chatting with…,in-flight experience
Ryanair #5954 (B738) has just filed a flight plan.  It is scheduled to depart from Faro (FAO) at 02:15PM WEST Wedne… https://t.co/Ghom70j308,Ryanair #5954 (B738) has just filed a flight plan.  It is scheduled to depart from Faro (FAO) at 02:15PM WEST Wedne… https://t.co/Ghom70j308,in-flight experience
"@ItsBenParks Hi Ben, we'd like to have our team respond. However we do require this information to find your case.… https://t.co/LJs7GEkVBK","@ItsBenParks Hi Ben, we'd like to have our team respond. However we do require this information to find your case.… https://t.co/LJs7GEkVBK",flight information requests
"@British_Airways thanks for the customer service at Heathrow, gave us an Express Connection pass. did NOTHING, if a… https://t.co/EQTcLwExGL","@British_Airways thanks for the customer service at Heathrow, gave us an Express Connection pass. did NOTHING, if a… https://t.co/EQTcLwExGL",customer service complaints
"… different seats were assigned, sorry missed the word ""different"" in the last comment.","… different seats were assigned, sorry missed the word ""different"" in the last comment.",seating and boarding challenges
"RT @joaogsr: O custo energético destas promoções é motivo suficiente para nos revoltarmos contra estes artigos. 
https://t.co/9uSumc99Z4","RT @joaogsr: The energy cost of these promotions is reason enough to rebel against these articles. 
https://t.co/9uSumc99Z4",promotion and offer issues
¡OFERTA! India Express. 6n. Salidas todos los lunes hasta 30Diciembre con Lufthansa. Precio final desde 1.250€ https://t.co/ArtX9SJSQr,"OFFER! India Express. 6n. Departures every Monday until 30th December with Lufthansa. Final price from €1,250 https://t.co/ArtX9SJSQr",promotion and offer issues
RT @ameyaw112: Thank you @SingaporeAir for showing me around your Airbus A380  / First Class Suite . I enjoyed the experience 😁 i will sure…,RT @ameyaw112: Thank you @SingaporeAir for showing me around your Airbus A380  / First Class Suite . I enjoyed the experience 😁 i will sure…,in-flight experience
"RT @No4StPaulsSq: Celebrating #WorldDiversityDay in @StPaulsSqLpl with @AmericanAir 

In need of lunch? Come and enjoy the variety of food…","RT @No4StPaulsSq: Celebrating #WorldDiversityDay in @StPaulsSqLpl with @AmericanAir 

In need of lunch? Come and enjoy the variety of food…",food and beverage complaints
@AmericanAir hey I never was informed my flight changed from direct to connecting until I went to check in this morning .....,@AmericanAir hey I never was informed my flight changed from direct to connecting until I went to check in this morning .....,in-flight experience
"RT @joaogsr: O custo energético destas promoções é motivo suficiente para nos revoltarmos contra estes artigos. 
https://t.co/9uSumc99Z4","RT @joaogsr: The energy cost of these promotions is reason enough to rebel against these articles. 
https://t.co/9uSumc99Z4",promotion and offer issues
"RT @nytimestravel: Checked bag fees are going down on @AmericanAir for some items, including surfboards, bicycles and cellos: https://t.co/…","RT @nytimestravel: Checked bag fees are going down on @AmericanAir for some items, including surfboards, bicycles and cellos: https://t.co/…",seating and boarding challenges
